model,samples,event_rate,mean_probability,brier,log_loss,roc_auc,target_id,target_kind,horizon_start,horizon_end,threshold,walk_forward_event_rate,prediction_rows
rolling_504_rate_baseline,998,0.2645290581162324,0.2345723192416579,0.2125660996975053,0.6332801044360572,0.4375619271736438,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
price_only_rolling756,998,0.2645290581162324,0.2638695101073284,0.2404380611013966,0.6846884348130635,0.3846296755016101,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
price_plus_market_regime,998,0.2645290581162324,0.3618862700056134,0.2122512968230593,0.6150306130141228,0.5329091321938734,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
price_plus_market_regime_rolling756,998,0.2645290581162324,0.2704639097360936,0.2420635799129112,0.6845661742093196,0.4339649905045,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
price_regime_cross_breadth,998,0.2645290581162324,0.3609827514313362,0.2135393743439288,0.6182881446435794,0.5071267855668401,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
price_regime_cross_breadth_rolling756,998,0.2645290581162324,0.2578179976260406,0.2386468825527216,0.6782711099906266,0.4639532243415077,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
price_only,968,0.2603305785123967,0.422787618626324,0.2519103909340931,0.6987693203440185,0.2681675090892968,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
expanding_rate_baseline,968,0.2603305785123967,0.3787113751991551,0.2350045970720783,0.6643674854444908,0.1637181874612042,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
rolling_504_rate_baseline,968,0.2603305785123967,0.2007247802702348,0.2380640042977705,0.8385254948386072,0.3874035647778664,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
price_only_rolling756,968,0.2603305785123967,0.276711411779678,0.2791636807510649,0.7806271607465345,0.3141017114480802,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
price_plus_market_regime,968,0.2603305785123967,0.4226341027252473,0.2495019713622221,0.6939483288190171,0.354133413141793,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
price_plus_market_regime_rolling756,968,0.2603305785123967,0.2851204201265807,0.2823354319884652,0.7893714998323055,0.337262791522568,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
price_regime_cross_breadth,968,0.2603305785123967,0.4217809167588482,0.2531645366361598,0.7012576692644212,0.3264831072093642,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
price_regime_cross_breadth_rolling756,968,0.2603305785123967,0.2765292490287449,0.2785610670173014,0.7825700417300612,0.3504090183559457,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808
price_only,938,0.2729211087420042,0.4589080891246552,0.2767364743209818,0.7503920683700844,0.2390086601906158,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
expanding_rate_baseline,938,0.2729211087420042,0.3882288794159608,0.2472081628902736,0.6892951326064783,0.1602020711143695,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
rolling_504_rate_baseline,938,0.2729211087420042,0.1970123870443699,0.2601296693161984,2.055478755961986,0.3624679252199413,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
price_only_rolling756,938,0.2729211087420042,0.2949716687880492,0.3014572145612569,0.8245287341821614,0.3731843383431085,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
price_plus_market_regime,938,0.2729211087420042,0.4621915792071576,0.2804570720027445,0.7588785092829982,0.2701498350439882,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
price_plus_market_regime_rolling756,938,0.2729211087420042,0.3027103029853663,0.3158209324933872,0.875035488533804,0.2173696389296187,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
price_regime_cross_breadth,938,0.2729211087420042,0.4618089139525392,0.28228233770176,0.7618724791962669,0.2469700788123167,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
price_regime_cross_breadth_rolling756,938,0.2729211087420042,0.2922822010817756,0.3042842009173576,0.8490517268281145,0.2212987994868035,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628
