ts_code,industry_name,trade_date,stage,action,radar_score,trend_score,startup_score,breadth_score,finance_score,overheat_score,weakening_score,ret_20,ret_60,ret_120,rs_20,rs_60,rs_120,rank_improve_20,amount_share,amount_share_ratio,pe,pb,pe_temp,pb_temp,member_count,breadth_coverage,above_20_ratio,above_60_ratio,above_120_ratio,new_high_60_ratio,positive_ret_20_ratio,positive_ret_60_ratio,median_member_ret_20,median_member_ret_60,leader_gap_60,financial_member_count,financial_coverage,sales_positive_ratio,profit_positive_ratio,profit_improve_ratio,cashflow_positive_ratio,median_q_sales_yoy,median_q_netprofit_yoy,status_note,breadth_note,finance_note,confirm_note,refute_note
801074.SI,专用设备,2026-05-21,潜伏观察,观察验证,53.83598609569437,77.8010752688172,42.68821990135007,33.095477386934675,51.50597989949749,73.59912101041134,18.185483870967744,0.009695149321801377,0.018079779085981906,0.20500455756397518,-0.005333279557404147,0.004459316038767369,0.10312936110906601,0.008064516129032251,0.019556886439324565,1.0038310817744882,48.44,3.56,0.9854497354497355,0.9484126984126984,203,0.9802955665024631,0.3065326633165829,0.39195979899497485,0.3969849246231156,0.010050251256281407,0.39195979899497485,0.32663316582914576,-0.05073852482004293,-0.09944715550921684,0.43479846243992887,203,0.9852216748768473,0.59,0.515,0.507537688442211,0.435,4.244149999999999,2.1773,短线弱于中期趋势,龙头领先过大,财务景气中性,盘面先动，确认不足,宽度未跟上；龙头独舞风险
801115.SI,照明设备Ⅱ,2026-05-21,潜伏观察,观察验证,53.65687958696023,84.35752688172043,41.32073732718894,37.57142857142857,22.857142857142854,71.80803038061102,7.338709677419356,0.011913866052651212,0.14120688281312255,0.2595695698285003,-0.0031145628265543124,0.127586419765908,0.15769437337359116,-0.032258064516129115,0.0006579695162108409,0.9501112703588354,59.65,2.18,0.9854497354497355,0.9246031746031746,14,1.0,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,-0.06027435988185542,-0.07434743861349757,0.5282579186474639,14,1.0,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.5,-4.0154,-77.41355,短线弱于中期趋势,龙头领先过大,利润覆盖偏弱,盘面先动，确认不足,宽度未跟上；龙头独舞风险；财务景气偏弱
801735.SI,光伏设备,2026-05-21,潜伏观察,观察验证,51.98582138590203,73.64516129032258,43.88165898617511,31.942857142857143,42.114285714285714,67.57362604540023,20.0,0.03950597088172758,-0.03786428169595024,0.036694602626327066,0.024477542002522057,-0.05148474474316478,-0.0651805938285821,0.016129032258064502,0.021664585429164204,0.7921690413563314,61.53,3.59,0.9947089947089947,0.8849206349206349,72,0.9722222222222222,0.3,0.34285714285714286,0.44285714285714284,0.0,0.37142857142857144,0.3142857142857143,-0.0481412605324103,-0.1515420682550223,0.37013429124740843,72,0.9722222222222222,0.34285714285714286,0.37142857142857144,0.6,0.35714285714285715,-10.734449999999999,-34.7554,20/60/120日趋势同向,宽度偏窄；龙头领先过大,利润同比改善扩散,盘面先动，确认不足,宽度未跟上；龙头独舞风险；财务景气偏弱
801179.SI,铁路公路,2026-05-21,潜伏观察,观察验证,51.65220786978851,58.674731182795696,49.77388632872504,30.666666666666668,58.242424242424235,46.263931558286394,41.7741935483871,0.01418698173402122,-0.010035072829166714,-0.056402874274293247,-0.0008414471451843042,-0.02365553587638125,-0.1582780707292024,0.217741935483871,0.00149660990257616,0.7833412371570785,17.97,0.92,0.8068783068783069,0.027777777777777776,38,0.868421052631579,0.3939393939393939,0.3333333333333333,0.30303030303030304,0.030303030303030304,0.45454545454545453,0.24242424242424243,-0.005859375,-0.044117647058823595,0.10814718508357048,38,0.868421052631579,0.45454545454545453,0.45454545454545453,0.6666666666666666,0.8181818181818182,-1.2367,-2.6713,60日相对排名改善快,宽度偏窄,利润同比改善扩散,盘面排名抬升,宽度未跟上
801127.SI,饮料乳品,2026-05-21,潜伏观察,观察验证,51.5528183137054,43.20967741935484,71.38026967059226,22.592592592592588,65.92592592592592,60.596752858849634,25.0,0.03571292093564371,-0.04495766295325687,-0.09811843031216527,0.020684492056438186,-0.05857812600047141,-0.19999362676707444,0.435483870967742,0.0016876406584067478,1.1173320317079696,18.24,2.99,0.18518518518518517,0.1335978835978836,28,0.9642857142857143,0.14814814814814814,0.2962962962962963,0.2222222222222222,0.0,0.2962962962962963,0.25925925925925924,-0.05494505494505497,-0.10831234256926958,0.2547318360209848,28,0.9642857142857143,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.7777777777777778,6.7756,15.3092,60日相对排名改善快；财务景气有支持,宽度偏窄,利润正增长覆盖高；利润同比改善扩散,财务景气支持；盘面排名抬升,宽度未跟上
801784.SI,城商行Ⅱ,2026-05-21,潜伏观察,观察验证,51.26517534612411,61.174731182795696,33.92713472485768,35.764705882352935,81.76470588235294,51.50458696023212,48.54838709677419,-0.01961471767124956,0.002451312857281396,0.006664850454377591,-0.034643146550455084,-0.011169150189933141,-0.09521034600053158,-0.08064516129032262,0.0016140949851697502,0.8936395802187229,5.82,0.52,0.8373015873015873,0.6243386243386243,17,1.0,0.17647058823529413,0.47058823529411764,0.47058823529411764,0.0,0.29411764705882354,0.47058823529411764,-0.027472527472527486,-0.015262515262515208,0.11322003872339438,17,1.0,0.9411764705882353,0.9411764705882353,0.6470588235294118,0.7058823529411765,10.2136,7.4201,财务景气有支持,宽度中性,利润正增长覆盖高；利润同比改善扩散,财务景气支持,宽度未跟上
801056.SI,能源金属,2026-05-21,潜伏观察,观察验证,51.08484399411819,61.287634408602145,32.665508684863525,41.23076923076923,85.23076923076923,66.89998293224099,40.685483870967744,-0.07152989454466041,0.012342837452177458,0.11828655422241785,-0.08655832342386593,-0.0012776255950370796,0.016411357767508683,-0.016129032258064502,0.0077142021193050605,1.0867421871085206,29.63,3.1,0.5595238095238095,0.8955026455026455,14,0.9285714285714286,0.07692307692307693,0.46153846153846156,0.6923076923076923,0.0,0.23076923076923078,0.6923076923076923,-0.089227421109902,0.15186140803538528,0.4004647613797362,14,0.9285714285714286,1.0,1.0,0.8461538461538461,0.46153846153846156,75.1256,250.3989,财务景气有支持,龙头领先过大,利润正增长覆盖高；利润同比改善扩散,财务景气支持,龙头独舞风险
801741.SI,航天装备Ⅱ,2026-05-21,潜伏观察,观察验证,49.96223843659327,58.634408602150536,51.49523809523809,35.33333333333333,44.0,65.05884109916367,25.0,-0.09867139579162187,-0.0293403758033568,0.904327510543635,-0.1136998246708274,-0.04296083885057134,0.8024523140887259,0.3548387096774193,0.0035784481034848146,1.0868343739654664,503.68,6.32,0.8915343915343915,0.9047619047619048,10,0.9,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.0,0.2222222222222222,0.3333333333333333,-0.09786288616165895,-0.022805409122163778,0.2266539349727686,10,1.0,0.9,0.4,0.4,0.0,23.13295,-22.793499999999998,60日相对排名改善快,宽度中性,现金流质量待验,盘面排名抬升,宽度未跟上
801782.SI,国有大型银行Ⅱ,2026-05-21,潜伏观察,观察验证,49.007542242703536,46.83064516129032,36.94500768049156,29.33333333333333,95.66666666666667,42.45526113671275,54.75806451612903,-0.04839704226141639,0.020660931163024587,-0.10365385353865075,-0.06342547114062191,0.00704046811581005,-0.20552904999355992,0.19354838709677424,0.0026004610555678577,0.7528736332704736,7.1,0.59,0.7380952380952381,0.75,6,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,-0.05283760831977474,-0.008775614944931232,0.122221350340953,6,1.0,1.0,1.0,0.8333333333333334,1.0,8.354,3.4183,60日相对排名改善快；财务景气有支持；短线弱于中期趋势,宽度偏窄,利润正增长覆盖高；利润同比改善扩散,财务景气支持；盘面排名抬升,宽度未跟上
801951.SI,煤炭开采,2026-05-21,潜伏观察,观察验证,47.68476702508961,68.98118279569893,29.02150537634408,33.33333333333333,58.333333333333336,61.668138760880694,44.87903225806451,-0.003870822232559412,0.029099350208684704,0.06394536519560612,-0.018899251111764936,0.015478887161470167,-0.03792983125930305,-0.056451612903225756,0.0034890151577525856,0.7007488038334536,20.31,1.4,0.9603174603174603,0.7103174603174603,33,0.9090909090909091,0.16666666666666666,0.16666666666666666,0.5,0.0,0.5333333333333333,0.5666666666666667,0.002534281464974364,0.009621531773430503,0.15263899467898617,33,0.9090909090909091,0.5666666666666667,0.4666666666666667,0.5666666666666667,0.8,1.49875,-3.1157500000000002,短线弱于中期趋势,宽度偏窄,财务景气中性,盘面先动，确认不足,宽度未跟上
