ts_code,industry_name,trade_date,stage,action,radar_score,status_note,stage_5d_ago,stage_20d_ago,migration
801881.SI,摩托车及其他,2026-05-21,潜伏观察,观察验证,43.03300339849201,60日相对排名改善快,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801982.SI,化妆品,2026-05-21,潜伏观察,观察验证,42.146270182625024,财务景气有支持,退潮回避,退潮回避,退潮回避 -> 潜伏观察
801971.SI,环境治理,2026-05-21,潜伏观察,观察验证,42.138877622602095,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801193.SI,证券Ⅱ,2026-05-21,潜伏观察,观察验证,42.06983852193207,60日相对排名改善快；财务景气有支持,潜伏观察,退潮回避,退潮回避 -> 潜伏观察
801037.SI,橡胶,2026-05-21,潜伏观察,观察验证,41.819734318068825,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801204.SI,专业连锁Ⅱ,2026-05-21,潜伏观察,观察验证,41.6861798088411,60日相对排名改善快；财务景气有支持,退潮回避,潜伏观察,潜伏观察 -> 潜伏观察
801054.SI,小金属,2026-05-21,钝化转弱,收紧风控,41.10388506571087,财务景气有支持；强势后质量转弱,高位拥挤,高位拥挤,高位拥挤 -> 钝化转弱
801034.SI,化学制品,2026-05-21,潜伏观察,观察验证,40.38381652173579,强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801124.SI,食品加工,2026-05-21,潜伏观察,观察验证,40.2175238948626,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801092.SI,汽车服务,2026-05-21,潜伏观察,观察验证,39.702201508169246,60日相对排名改善快,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801736.SI,风电设备,2026-05-21,钝化转弱,收紧风控,39.673246117084815,强势后质量转弱,潜伏观察,钝化转弱,钝化转弱 -> 钝化转弱
801077.SI,工程机械,2026-05-21,潜伏观察,观察验证,39.61434988905956,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801142.SI,家居用品,2026-05-21,潜伏观察,观察验证,39.10205041816009,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801231.SI,综合Ⅱ,2026-05-21,钝化转弱,收紧风控,38.57252986857826,短期热度偏高；强势后质量转弱,高位拥挤,潜伏观察,潜伏观察 -> 钝化转弱
