ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
600062.SH,20171025,20170930,29.0104,21.4737,13.7511,9.948
600560.SH,20171028,20170930,51.8768,7093.0471,-4.9177,1.8737
000605.SZ,20171028,20170930,147.1767,97.6492,-8.8702,4.2482
300304.SZ,20171028,20170930,15.3028,49.0128,6.3696,5.3683
300420.SZ,20171028,20170930,16.4939,2.0403,-4.3406,5.2056
600784.SH,20171027,20170930,-68.9743,111.6086,4.4071,0.2017
600665.SH,20171028,20170930,52.2765,155.5386,20.2674,5.8623
300285.SZ,20171028,20170930,115.4719,55.4102,3.3116,9.2503
600588.SH,20171028,20170930,21.2834,-12.3186,4.1152,-5.8882
603225.SH,20171028,20170930,34.1435,102.5907,8.3481,19.7543
603158.SH,20171031,20170930,1.1509,1.8079,22.7344,9.7278
600939.SH,20171031,20170930,-4.1148,59.9782,-0.947,3.5897
600114.SH,20171031,20170930,35.6485,90.9787,8.1366,7.6894
600227.SH,20171031,20170930,-47.8869,55.1022,-7.8403,-1.7043
600689.SH,20171031,20170930,15.7541,-93.0764,-3.1539,-2.1791
600678.SH,20171031,20170930,123.3147,177.3952,10.6317,-19.9896
603580.SH,20171031,20170930,6.3029,-7.515,19.3692,6.6427
600025.SH,20171214,20170930,-13.4995,713.9127,94.5266,5.6055
002107.SZ,20171031,20170930,27.622,47.9762,13.9563,11.5843
002563.SZ,20171031,20170930,11.238,-2.2932,8.6161,9.5958
601233.SH,20171031,20170930,36.6988,150.6834,20.683,9.7137
000099.SZ,20171031,20170930,11.8774,24.9573,-167.6506,2.4898
600393.SH,20171031,20170930,1042.1394,2609.0374,-40.8982,22.3752
600159.SH,20171031,20170930,-63.4346,-202.4968,-57.5033,-1.7787
000777.SZ,20171031,20170930,-1.1886,-85.3098,-34.3785,-0.3871
603009.SH,20171031,20170930,3.856,-43.459,-16.003,2.478
600079.SH,20171031,20170930,24.8983,697.4222,1.793,4.1925
600095.SH,20171031,20170930,35.4819,761.5992,69.4399,-0.7061
000416.SZ,20171031,20170930,-98.2366,-5.6733,4072.7608,1.1711
600966.SH,20171011,20170930,15.6856,394.582,5.999,13.9314
600367.SH,20171013,20170930,16.4994,9257.4397,17.2112,6.4026
000890.SZ,20171031,20170930,-15.68,-111.0181,-87.8036,1.9253
600644.SH,20171031,20170930,0.1621,-47.2819,11.1141,8.3109
002458.SZ,20171031,20170930,-65.1691,-127.6598,-46.9091,-14.6014
002230.SZ,20171019,20170930,89.1059,174.0774,6.5204,1.5878
600823.SH,20171031,20170930,-45.9735,-130.5741,47.6176,5.2192
