ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000977.SZ,20250402,53.08,1.555,2.2857,0.52,34.0964,34.0964,3.9076,0.6809,0.6809,0.2449,0.3297,147213.5122,147042.0889,100034.4719,7814093.2276,7804994.0788
000977.SZ,20250401,53.07,1.9873,2.9212,0.62,34.09,34.09,3.9068,0.6807,0.6807,0.245,0.3298,147213.5122,147042.0889,100034.4719,7812621.0925,7803523.6579
000977.SZ,20250331,53.48,3.0919,4.5449,0.97,34.3533,34.3533,3.937,0.686,0.686,0.2431,0.3272,147213.5122,147042.0889,100030.4212,7872978.6325,7863810.9144
000977.SZ,20250328,53.54,2.2579,3.319,0.68,44.2107,34.412,4.184,1.1966,0.7812,0.2428,0.3269,147213.5122,147038.0382,100030.4212,7881811.4432,7872416.5652
000977.SZ,20250327,53.57,3.1696,4.6591,1.0,44.2355,34.4313,4.1864,1.1973,0.7816,0.2427,0.3267,147213.5122,147038.0382,100030.4212,7886227.8486,7876827.7064
000977.SZ,20250326,53.83,4.458,6.553,1.63,44.4502,34.5984,4.2067,1.2031,0.7854,0.2415,0.3251,147213.5122,147038.0382,100030.4212,7924503.3617,7915057.5963
000977.SZ,20250325,55.43,3.0093,4.4235,1.06,45.7714,35.6267,4.3317,1.2389,0.8088,0.2345,0.3157,147213.5122,147038.0382,100030.4212,8160044.9812,8150318.4574
000977.SZ,20250324,57.62,2.9757,4.374,1.05,47.5797,37.0343,4.5029,1.2878,0.8407,0.2256,0.3037,147213.5122,147038.0382,100030.4212,8482442.573,8472331.7611
000977.SZ,20250321,56.63,3.0174,4.4353,1.0,46.7623,36.398,4.4255,1.2657,0.8263,0.2296,0.309,147213.5122,147038.0382,100030.4212,8336701.1959,8326764.1033
000977.SZ,20250320,58.3,2.3369,3.4351,0.72,48.1413,37.4714,4.556,1.303,0.8506,0.223,0.3002,147213.5122,147038.0382,100030.4212,8582547.7613,8572317.6271
000977.SZ,20250319,59.06,2.3533,3.4592,0.63,48.7688,37.9599,4.6154,1.32,0.8617,0.2201,0.2963,147213.5122,147038.0382,100030.4212,8694430.0305,8684066.5361
000977.SZ,20250318,59.85,3.4998,5.1444,0.95,49.4212,38.4676,4.6772,1.3377,0.8732,0.2172,0.2924,147213.5122,147038.0382,100030.4212,8810728.7052,8800226.5863
000977.SZ,20250317,59.37,2.933,4.3113,0.79,49.0248,38.1591,4.6396,1.3269,0.8662,0.219,0.2948,147213.5122,147038.0382,100030.4212,8740066.2193,8729648.3279
000977.SZ,20250314,59.27,3.919,5.7607,1.02,48.9422,38.0948,4.6318,1.3247,0.8648,0.2193,0.2953,147213.5122,147038.0382,100030.4212,8725344.8681,8714944.5241
000977.SZ,20250313,57.79,3.5094,5.1585,0.81,47.7201,37.1436,4.5162,1.2916,0.8432,0.225,0.3028,147213.5122,147038.0382,100030.4212,8507468.87,8497328.2276
000977.SZ,20250312,59.49,4.764,7.0028,1.08,49.1239,38.2362,4.649,1.3296,0.868,0.2185,0.2942,147213.5122,147038.0382,100030.4212,8757731.8408,8747292.8925
000977.SZ,20250311,58.82,3.2492,4.7761,0.7,48.5706,37.8056,4.5967,1.3146,0.8582,0.221,0.2975,147213.5122,147038.0382,100030.4212,8659098.7876,8648777.4069
000977.SZ,20250310,59.3,3.0308,4.4551,0.59,48.967,38.1141,4.6342,1.3254,0.8652,0.2192,0.2951,147213.5122,147038.0382,100030.4212,8729761.2735,8719355.6653
000977.SZ,20250307,59.88,4.722,6.941,0.85,49.4459,38.4869,4.6795,1.3383,0.8737,0.2171,0.2923,147213.5122,147038.0382,100030.4212,8815145.1105,8804637.7274
000977.SZ,20250306,61.39,5.9564,8.7555,1.02,50.6928,39.4574,4.7975,1.3721,0.8957,0.2118,0.2851,147213.5122,147038.0382,100030.4212,9037437.514,9026665.1651
000977.SZ,20250305,60.0,5.1644,7.5913,0.82,49.545,38.564,4.6889,1.341,0.8754,0.2167,0.2917,147213.5122,147038.0382,100030.4212,8832810.732,8822282.292
000977.SZ,20250304,58.81,4.4499,6.5411,0.64,48.5624,37.7992,4.5959,1.3144,0.8581,0.2211,0.2976,147213.5122,147038.0382,100030.4212,8657626.6525,8647307.0265
000977.SZ,20250303,58.24,5.5267,8.1238,0.72,48.0917,37.4328,4.5513,1.3017,0.8498,0.2232,0.3005,147213.5122,147038.0382,100030.4212,8573714.9505,8563495.3448
000977.SZ,20250228,59.21,6.5467,9.6789,0.72,48.8927,38.0563,4.6271,1.3234,0.8639,0.2196,0.2956,147213.5122,147038.0382,99454.4717,8716512.0574,8706122.2418
000977.SZ,20250227,62.8,7.3766,10.9059,0.82,51.8571,40.3637,4.9077,1.4036,0.9163,0.207,0.2787,147213.5122,147038.0382,99454.4717,9245008.5662,9233988.799
000977.SZ,20250226,65.08,7.4409,11.0009,0.81,53.7398,41.8291,5.0859,1.4546,0.9496,0.1998,0.2689,147213.5122,147038.0382,99454.4717,9580655.374,9569235.5261
000977.SZ,20250225,64.97,7.9914,11.8148,0.81,53.649,41.7584,5.0773,1.4521,0.948,0.2001,0.2694,147213.5122,147038.0382,99454.4717,9564461.8876,9553061.3419
000977.SZ,20250224,67.13,9.2506,13.6765,0.85,55.4326,43.1467,5.2461,1.5004,0.9795,0.1937,0.2607,147213.5122,147038.0382,99454.4717,9882443.074,9870663.5044
000977.SZ,20250221,67.75,13.2778,19.6304,1.26,55.9446,43.5452,5.2945,1.5142,0.9885,0.1919,0.2583,147213.5122,147038.0382,99454.4717,9973715.4516,9961827.0881
000977.SZ,20250220,63.36,7.1354,10.5493,0.64,52.3196,40.7236,4.9515,1.4161,0.9245,0.2052,0.2762,147213.5122,147038.0382,99454.4717,9327448.133,9316330.1004
000977.SZ,20250219,64.57,8.4491,12.4916,0.71,53.3187,41.5013,5.046,1.4432,0.9421,0.2013,0.271,147213.5122,147038.0382,99454.4717,9505576.4828,9494246.1266
000977.SZ,20250218,63.14,11.3002,16.7067,0.92,52.1379,40.5822,4.9343,1.4112,0.9213,0.2059,0.2772,147213.5122,147038.0382,99454.4717,9295061.1603,9283981.7319
000977.SZ,20250217,67.87,14.4009,21.2909,1.15,56.0437,43.6223,5.3039,1.5169,0.9903,0.1915,0.2578,147213.5122,147038.0382,99454.4717,9991381.073,9979471.6526
000977.SZ,20250214,63.27,11.2353,16.6107,0.83,52.2452,40.6658,4.9444,1.4141,0.9231,0.2055,0.2766,147213.5122,147038.0382,99454.4717,9314198.9169,9303096.6769
000977.SZ,20250213,60.67,10.6214,15.7032,0.8,50.0983,38.9947,4.7412,1.356,0.8852,0.2143,0.2884,147213.5122,147038.0382,99454.4717,8931443.7852,8920797.7776
000977.SZ,20250212,62.94,12.1668,17.9879,0.93,51.9727,40.4537,4.9186,1.4067,0.9183,0.2065,0.278,147213.5122,147038.0382,99454.4717,9265618.4579,9254574.1243
000977.SZ,20250211,62.9,13.0438,19.2846,1.08,51.9397,40.428,4.9155,1.4058,0.9178,0.2067,0.2782,147213.5122,147038.0382,99454.4717,9259729.9174,9248692.6028
000977.SZ,20250210,60.82,15.7703,23.3155,1.59,50.2221,39.0911,4.753,1.3593,0.8874,0.2137,0.2877,147213.5122,147038.0382,99454.4717,8953525.812,8942853.4833
000977.SZ,20250207,60.28,15.9693,23.6097,1.98,49.7762,38.744,4.7108,1.3473,0.8795,0.2157,0.2903,147213.5122,147038.0382,99454.4717,8874030.5154,8863452.9427
000977.SZ,20250206,56.28,9.3478,13.8201,1.23,46.4732,36.1731,4.3982,1.2579,0.8212,0.231,0.3109,147213.5122,147038.0382,99454.4717,8285176.4666,8275300.7899
000977.SZ,20250205,55.71,11.4588,16.9412,1.67,46.0026,35.8067,4.3536,1.2451,0.8128,0.2334,0.3141,147213.5122,147038.0382,99454.4717,8201264.7647,8191489.1081
000977.SZ,20250127,51.94,8.0034,11.8326,1.31,42.8895,33.3836,4.059,1.1609,0.7578,0.2503,0.3369,147213.5122,147038.0382,99454.4717,7646269.8237,7637155.7041
000977.SZ,20250124,52.96,4.8622,7.1885,0.79,43.7317,34.0392,4.1387,1.1837,0.7727,0.2455,0.3304,147213.5122,147038.0382,99454.4717,7796427.6061,7787134.5031
000977.SZ,20250123,51.74,6.7307,9.951,1.1,42.7243,33.2551,4.0434,1.1564,0.7549,0.2513,0.3382,147213.5122,147038.0382,99454.4717,7616827.1212,7607748.0965
000977.SZ,20250122,52.96,7.0933,10.4871,1.16,43.7317,34.0392,4.1387,1.1837,0.7727,0.2455,0.3304,147213.5122,147038.0382,99454.4717,7796427.6061,7787134.5031
000977.SZ,20250121,52.33,7.6174,11.2619,1.25,43.2115,33.6343,4.0895,1.1696,0.7635,0.2484,0.3344,147213.5122,147038.0382,99454.4717,7703683.0934,7694500.539
000977.SZ,20250120,50.42,4.2365,6.2635,0.72,41.6343,32.4066,3.9402,1.1269,0.7357,0.2578,0.3471,147213.5122,147038.0382,99454.4717,7422505.2851,7413657.886
000977.SZ,20250117,50.0,5.0349,7.4438,0.84,41.2875,32.1367,3.9074,1.1175,0.7295,0.26,0.35,147213.5122,147038.0382,99454.4717,7360675.61,7351901.91
000977.SZ,20250116,49.85,6.5596,9.698,1.12,41.1637,32.0403,3.882,1.1142,0.7273,0.2608,0.2608,147213.5122,147038.0382,99454.4717,7338593.5832,7329846.2043
000977.SZ,20250115,50.97,7.217,10.67,1.29,42.0885,32.7601,3.9692,1.1392,0.7437,0.2551,0.2551,147213.5122,147038.0382,99454.4717,7503472.7168,7494528.8071
000977.SZ,20250114,50.45,7.466,11.0381,1.35,41.6591,32.4259,3.9288,1.1276,0.7361,0.2577,0.2577,147213.5122,147038.0382,99454.4717,7426921.6905,7418069.0272
000977.SZ,20250113,46.63,3.1567,4.667,0.55,38.5047,29.9707,3.6313,1.0422,0.6804,0.2788,0.2788,147213.5122,147038.0382,99454.4717,6864566.0739,6856383.7213
000977.SZ,20250110,46.86,5.5593,8.2191,0.96,38.6947,30.1185,3.6492,1.0473,0.6837,0.2774,0.2774,147213.5122,147038.0382,99454.4717,6898425.1817,6890202.4701
000977.SZ,20250109,49.04,5.9457,8.7903,0.97,40.4948,31.5197,3.8189,1.0961,0.7155,0.2651,0.2651,147213.5122,147038.0382,99454.4717,7219350.6383,7210745.3933
000977.SZ,20250108,48.03,5.7763,8.5399,0.92,39.6608,30.8705,3.7403,1.0735,0.7008,0.2707,0.2707,147213.5122,147038.0382,99454.4717,7070664.991,7062236.9747
000977.SZ,20250107,48.58,7.1243,10.5328,1.2,40.115,31.224,3.7831,1.0858,0.7088,0.2676,0.2676,147213.5122,147038.0382,99454.4717,7151632.4227,7143107.8958
000977.SZ,20250106,45.91,4.5141,6.6739,0.67,37.9102,29.5079,3.5752,1.0261,0.6699,0.2832,0.2832,147213.5122,147038.0382,99454.4717,6758572.3451,6750516.3338
000977.SZ,20250103,45.88,5.4896,8.1161,0.73,37.8854,29.4886,3.5729,1.0254,0.6694,0.2833,0.2833,147213.5122,147038.0382,99454.4717,6754155.9397,6746105.1926
000977.SZ,20250102,48.69,7.6905,11.37,0.97,40.2058,31.2947,3.7917,1.0882,0.7104,0.267,0.267,147213.5122,147038.0382,99454.4717,7167825.909,7159282.08
000977.SZ,20241231,51.88,6.4336,9.5117,0.71,42.8399,33.345,4.0401,1.1595,0.757,0.2875,0.2506,147213.5122,147038.0382,99454.4717,7637437.0129,7628333.4218
000977.SZ,20241230,53.07,5.6728,8.387,0.58,43.8226,34.1099,4.1328,1.1861,0.7743,0.281,0.245,147213.5122,147038.0382,99454.4717,7812621.0925,7803308.6873
000977.SZ,20241227,53.43,8.3664,12.3693,0.78,44.1199,34.3413,4.1608,1.1942,0.7796,0.2791,0.2433,147213.5122,147038.0382,99454.4717,7865617.9568,7856242.381
000977.SZ,20241226,55.05,9.5147,14.0669,0.8,45.4576,35.3825,4.287,1.2304,0.8032,0.2709,0.2361,147213.5122,147038.0382,99454.4717,8104103.8466,8094444.0029
000977.SZ,20241225,53.86,9.4649,13.9934,0.89,44.4749,34.6176,4.1943,1.2038,0.7859,0.2769,0.2414,147213.5122,147038.0382,99454.4717,7928919.7671,7919468.7375
000977.SZ,20241224,53.88,12.0961,17.8834,1.36,44.4914,34.6305,4.1959,1.2042,0.7861,0.2768,0.2413,147213.5122,147038.0382,99454.4717,7931864.0373,7922409.4982
000977.SZ,20241223,50.85,9.0605,13.3955,1.2,41.9894,32.683,3.9599,1.1365,0.7419,0.2933,0.2557,147213.5122,147038.0382,99454.4717,7485807.0954,7476884.2425
000977.SZ,20241220,51.56,13.6993,20.2536,2.51,42.5757,33.1394,4.0152,1.1524,0.7523,0.2893,0.2521,147213.5122,147038.0382,99454.4717,7590328.689,7581281.2496
000977.SZ,20241219,51.19,14.834,21.9312,4.79,42.2702,32.9015,3.9864,1.1441,0.7469,0.2913,0.254,147213.5122,147038.0382,99454.4717,7535859.6895,7526877.1755
000977.SZ,20241218,46.54,3.3742,4.9885,1.15,38.4304,29.9128,3.6243,1.0402,0.679,0.3205,0.2793,147213.5122,147038.0382,99454.4717,6851316.8578,6843150.2978
000977.SZ,20241217,45.78,3.5924,5.3112,1.17,37.8029,29.4244,3.5651,1.0232,0.668,0.3258,0.284,147213.5122,147038.0382,99454.4717,6739434.5885,6731401.3888
000977.SZ,20241216,45.6,2.2194,3.2812,0.67,37.6542,29.3087,3.5511,1.0192,0.6653,0.3271,0.2851,147213.5122,147038.0382,99454.4717,6712936.1563,6704934.5419
000977.SZ,20241213,45.76,3.2389,4.7885,0.86,37.7863,29.4115,3.5635,1.0227,0.6677,0.3259,0.2841,147213.5122,147038.0382,99454.4717,6736490.3183,6728460.628
000977.SZ,20241212,47.18,3.056,4.5182,0.83,38.9589,30.3242,3.6741,1.0545,0.6884,0.3161,0.2755,147213.5122,147038.0382,99454.4717,6945533.5056,6937254.6423
000977.SZ,20241211,47.1,2.5257,3.7341,0.66,38.8929,30.2728,3.6679,1.0527,0.6872,0.3166,0.276,147213.5122,147038.0382,99454.4717,6933756.4246,6925491.5992
000977.SZ,20241210,47.09,4.2512,6.2851,1.04,38.8846,30.2663,3.6671,1.0525,0.6871,0.3167,0.2761,147213.5122,147038.0382,99454.4717,6932284.2895,6924021.2188
000977.SZ,20241209,46.9,3.4451,5.0935,0.8,38.7277,30.1442,3.6523,1.0482,0.6843,0.318,0.2772,147213.5122,147038.0382,99454.4717,6904313.7222,6896083.9916
000977.SZ,20241206,47.84,5.5997,8.2788,1.3,39.5039,30.7484,3.7255,1.0692,0.698,0.3118,0.2717,147213.5122,147038.0382,99454.4717,7042694.4236,7034299.7475
000977.SZ,20241205,46.26,2.4841,3.6727,0.48,38.1992,29.7329,3.6025,1.0339,0.675,0.3224,0.281,147213.5122,147038.0382,99454.4717,6810097.0744,6801979.6471
000977.SZ,20241204,46.12,3.3304,4.9238,0.61,38.0836,29.6429,3.5916,1.0308,0.6729,0.3234,0.2819,147213.5122,147038.0382,99454.4717,6789487.1827,6781394.3218
000977.SZ,20241203,46.5,5.6384,8.336,1.12,38.3974,29.8871,3.6211,1.0393,0.6785,0.3207,0.2796,147213.5122,147038.0382,99454.4717,6845428.3173,6837268.7763
000977.SZ,20241202,48.03,4.3921,6.4935,0.79,39.6608,30.8705,3.7403,1.0735,0.7008,0.3105,0.2707,147213.5122,147038.0382,99454.4717,7070664.991,7062236.9747
000977.SZ,20241129,47.8,5.6905,8.4131,0.97,39.4709,30.7227,3.7224,1.0683,0.6974,0.312,0.272,147213.5122,147038.0382,99454.4717,7036805.8832,7028418.226
000977.SZ,20241128,47.21,6.5646,9.7054,1.15,38.9837,30.3435,3.6764,1.0552,0.6888,0.3159,0.2754,147213.5122,147038.0382,99454.4717,6949949.911,6941665.7834
000977.SZ,20241127,46.62,4.8051,7.1041,0.8,38.4965,29.9643,3.6305,1.042,0.6802,0.3199,0.2789,147213.5122,147038.0382,99454.4717,6863093.9388,6854913.3409
000977.SZ,20241126,45.29,3.7062,5.4794,0.55,37.3982,29.1094,3.5269,1.0122,0.6608,0.3293,0.287,147213.5122,147038.0382,99454.4717,6667299.9675,6659352.7501
000977.SZ,20241125,46.45,7.0894,10.4813,1.05,38.3561,29.855,3.6173,1.0382,0.6777,0.3211,0.2799,147213.5122,147038.0382,99454.4717,6838067.6417,6829916.8744
000977.SZ,20241122,47.71,7.0613,10.4397,0.98,39.3966,30.6648,3.7154,1.0663,0.6961,0.3126,0.2725,147213.5122,147038.0382,99454.4717,7023556.6671,7015184.8025
000977.SZ,20241121,49.26,5.8866,8.7031,0.7,40.6765,31.6611,3.8361,1.101,0.7187,0.3028,0.2639,147213.5122,147038.0382,99454.4717,7251737.611,7243093.7617
000977.SZ,20241120,48.89,6.1953,9.1594,0.64,40.3709,31.4233,3.8073,1.0927,0.7133,0.3051,0.2659,147213.5122,147038.0382,99454.4717,7197268.6115,7188689.6876
000977.SZ,20241119,48.9,7.6345,11.2872,0.7,40.3792,31.4297,3.808,1.0929,0.7135,0.305,0.2658,147213.5122,147038.0382,99454.4717,7198740.7466,7190160.068
000977.SZ,20241118,46.92,6.9998,10.3488,0.54,38.7442,30.1571,3.6539,1.0487,0.6846,0.3179,0.2771,147213.5122,147038.0382,99454.4717,6907257.9924,6899024.7523
