available_date,finance_period,semi_finance_member_count,semi_finance_coverage,semi_finance_sales_positive,semi_finance_profit_positive,semi_finance_cash_positive,semi_finance_roe_positive,semi_finance_sales_median,semi_finance_profit_median,semi_finance_profit_positive_delta,semi_finance_profit_median_delta
2020-11-12,20200930,62,0.9838709677419355,0.7540983606557377,0.7868852459016393,0.7868852459016393,0.8833333333333333,29.9393,56.8976,0.10688524590163928,37.1158
2021-04-30,20201231,66,0.9848484848484849,0.8153846153846154,0.7538461538461538,0.9076923076923077,0.921875,25.4405,68.7582,-0.0330390920554855,11.860600000000005
2021-05-14,20210331,67,0.9850746268656716,0.9242424242424242,0.7878787878787878,0.5606060606060606,0.9076923076923077,71.55605,131.31575,0.03403263403263401,62.557550000000006
2021-08-31,20210630,69,0.9855072463768116,0.8823529411764706,0.8235294117647058,0.8529411764705882,0.9104477611940298,57.90885,105.76089999999999,0.035650623885918,-25.554850000000016
2021-11-12,20210930,79,0.9873417721518988,0.9102564102564102,0.7692307692307693,0.7435897435897436,0.948051948051948,43.855199999999996,91.67925,-0.05429864253393657,-14.081649999999996
2022-04-30,20211231,89,0.9887640449438202,0.8181818181818182,0.7159090909090909,0.8181818181818182,0.9310344827586207,38.7873,72.52725000000001,-0.053321678321678334,-19.151999999999987
2022-05-13,20220331,93,0.989247311827957,0.782608695652174,0.6739130434782609,0.3804347826086957,0.8478260869565217,34.96705,44.0007,-0.041996047430830075,-28.526550000000007
2022-08-31,20220630,104,0.9903846153846154,0.6504854368932039,0.5048543689320388,0.6407766990291263,0.883495145631068,15.399,5.8726,-0.16905867454622203,-38.1281
2022-11-11,20220930,119,0.9915966386554622,0.4322033898305085,0.3898305084745763,0.576271186440678,0.8813559322033898,-3.0475,-32.993300000000005,-0.11502386045746255,-38.8659
2023-04-29,20221231,126,0.9920634920634921,0.448,0.256,0.752,0.864,-9.896,-56.12,-0.13383050847457628,-23.126699999999992
2023-05-12,20230331,133,0.9924812030075187,0.32575757575757575,0.25,0.4318181818181818,0.6212121212121212,-12.19875,-60.8705,-0.006000000000000005,-4.750500000000002
2023-08-31,20230630,142,0.9929577464788732,0.46808510638297873,0.2553191489361702,0.7304964539007093,0.6382978723404256,-2.1907,-45.9271,0.005319148936170193,14.943399999999997
2023-11-10,20230930,148,0.9932432432432432,0.6054421768707483,0.3877551020408163,0.5850340136054422,0.6462585034013606,11.9001,-38.9812,0.13243595310464612,6.945900000000002
2024-04-30,20231231,151,0.9933774834437086,0.7133333333333334,0.52,0.7733333333333333,0.6933333333333334,16.2654,4.2111,0.1322448979591837,43.1923
2024-05-10,20240331,156,0.9935897435897436,0.7483870967741936,0.5483870967741935,0.4645161290322581,0.6580645161290323,19.2996,6.5654,0.028387096774193488,2.3543000000000003
2024-08-31,20240630,157,0.9936305732484076,0.7435897435897436,0.5256410256410257,0.6602564102564102,0.6858974358974359,21.0364,2.8114,-0.022746071133167844,-3.7540000000000004
2024-11-08,20240930,160,0.99375,0.7547169811320755,0.5660377358490566,0.6415094339622641,0.6855345911949685,18.9966,21.603,0.04039671020803093,18.791600000000003
2025-04-30,20241231,162,0.9938271604938271,0.7950310559006211,0.5590062111801242,0.8260869565217391,0.6708074534161491,18.9864,14.171,-0.007031524668932421,-7.432000000000002
2025-05-09,20250331,163,0.9938650306748467,0.7530864197530864,0.5740740740740741,0.5864197530864198,0.6358024691358025,15.0749,10.546199999999999,0.015067862893949902,-3.6248000000000005
2025-08-30,20250630,165,0.9939393939393939,0.823170731707317,0.5853658536585366,0.725609756097561,0.6524390243902439,18.9315,11.1726,0.01129177958446248,0.6264000000000003
2025-11-14,20250930,167,0.9880239520958084,0.806060606060606,0.6181818181818182,0.6867469879518072,0.6506024096385542,19.6064,18.1547,0.032815964523281616,6.982099999999999
2026-04-30,20251231,173,0.9942196531791907,0.7906976744186046,0.5058139534883721,0.8197674418604651,0.6569767441860465,16.117849999999997,2.6677,-0.11236786469344606,-15.486999999999998
2026-05-15,20260331,174,0.9942528735632183,0.8034682080924855,0.5606936416184971,0.5028901734104047,0.6705202312138728,22.8175,11.1858,0.054879688130125004,8.5181
