trade_date,semi_breadth_member_count,semi_breadth_above_20,semi_breadth_above_60,semi_breadth_above_120,semi_breadth_positive_20,semi_breadth_positive_60,semi_breadth_high_60,semi_breadth_median_ret_20,semi_breadth_median_ret_60,semi_breadth_leader_gap_60
2021-07-01,67,0.8208955223880597,0.9402985074626866,0.8208955223880597,0.9104477611940298,0.8507462686567164,0.014925373134328358,0.16470588235294126,0.3234077750206783,0.7305466525259328
2021-07-02,66,0.7272727272727273,0.8939393939393939,0.8333333333333334,0.8939393939393939,0.7878787878787878,0.030303030303030304,0.19963115641204476,0.2639885666942834,0.7655714719973561
2021-07-05,67,0.8059701492537313,0.9104477611940298,0.8507462686567164,0.8955223880597015,0.8507462686567164,0.14925373134328357,0.20730270906949344,0.30850362557679634,0.8032026177090188
2021-07-06,67,0.8059701492537313,0.9104477611940298,0.8507462686567164,0.8805970149253731,0.8208955223880597,0.08955223880597014,0.1288981288981288,0.2655172413793103,0.7630454606749462
2021-07-07,67,0.7910447761194029,0.9104477611940298,0.8507462686567164,0.8955223880597015,0.8507462686567164,0.07462686567164178,0.18236559139784947,0.2834782608695652,0.7787125971217572
2021-07-08,67,0.9402985074626866,0.9402985074626866,0.8656716417910447,0.9104477611940298,0.8656716417910447,0.14925373134328357,0.1904033379694019,0.3529411764705883,0.7799198286952496
2021-07-09,67,0.8656716417910447,0.9104477611940298,0.8507462686567164,0.8805970149253731,0.8656716417910447,0.04477611940298507,0.15422379633201233,0.3267181183388461,0.8505857886101547
2021-07-12,67,0.8208955223880597,0.9104477611940298,0.8507462686567164,0.9104477611940298,0.8656716417910447,0.1044776119402985,0.19551282051282048,0.38404794836330103,0.9216108557927007
2021-07-13,66,0.48484848484848486,0.9090909090909091,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.015151515151515152,0.11773284214478852,0.29699673634186274,0.8305280648867367
2021-07-14,66,0.3787878787878788,0.8636363636363636,0.7575757575757576,0.7424242424242424,0.8333333333333334,0.0,0.10590802831407042,0.2594499148998849,0.7924705699180766
2021-07-15,66,0.36363636363636365,0.8333333333333334,0.7424242424242424,0.5151515151515151,0.8181818181818182,0.0,0.006490356964840349,0.23791902213171545,0.8463819362119621
2021-07-16,67,0.3283582089552239,0.8059701492537313,0.746268656716418,0.44776119402985076,0.8208955223880597,0.014925373134328358,-0.012055000941797012,0.23339011925042596,0.7320838702476813
2021-07-19,67,0.3283582089552239,0.8059701492537313,0.746268656716418,0.4925373134328358,0.8507462686567164,0.014925373134328358,0.00300582378358083,0.222938144329897,0.792177789734664
2021-07-20,68,0.39705882352941174,0.8382352941176471,0.7941176470588235,0.5147058823529411,0.8676470588235294,0.08823529411764706,0.02414845724110337,0.27361923929369514,0.7921877330307447
2021-07-21,68,0.5882352941176471,0.8970588235294118,0.8529411764705882,0.5441176470588235,0.8676470588235294,0.11764705882352941,0.028384279475982543,0.3347749469586716,0.8738880442960684
2021-07-22,68,0.7647058823529411,0.8970588235294118,0.8676470588235294,0.75,0.8676470588235294,0.1323529411764706,0.07491082045184294,0.3240729105582083,0.9383828875669076
