名称,市场,产业链环节,细分方向,代码,公司产品简介,供应链确定性,市值(亿元),PE(TTM),2026 PE(预测),2027 PE(预测),2028 PE(预测),"2025净利润(实际/预测,亿元)","2026净利润(预测,亿元)","2027净利润(预测,亿元)","2028净利润(预测,亿元)",2025净利润同比%(实际/预测),2026净利润同比%(预测),2027净利润同比%(预测),2028净利润同比%(预测),最新交易日,当日涨幅%,10日涨幅%,30日涨幅%,60日涨幅%,90日涨幅%,250日涨幅%,预测来源,数据状态,备注
中芯国际,A股,GPU/CPU/NVLink/核心芯片,晶圆制造,688981.SH,先进/成熟制程晶圆制造,主题映射,10209,202.3,160.3,135.8,110.8,50.4,63.7,75.2,92.2,0.363,0.264,0.181,0.226,2026-06-05,-5.5,-3.0,18.6,21.2,0.3,50.4,"report_rc中位数(2025:实际,2026:89,2027:65,2028:11)",OK,
寒武纪,A股,GPU/CPU/NVLink/核心芯片,AI训练/推理芯片,688256.SH,国产AI芯片核心标的,主题映射,8163,300.4,180.5,108.4,55.9,20.6,45.2,75.3,146.2,-5.552,1.196,0.665,0.941,2026-06-05,-4.4,1.0,-2.3,15.4,-8.8,99.6,"report_rc中位数(2025:实际,2026:90,2027:83,2028:16)",OK,
海光信息,A股,GPU/CPU/NVLink/核心芯片,CPU/GPGPU,688041.SH,国产高性能处理器,主题映射,6370,233.7,142.5,99.8,70.8,25.4,44.7,63.8,90.0,0.318,0.757,0.427,0.41,2026-06-05,-4.1,-12.3,8.5,14.9,12.2,90.7,"report_rc中位数(2025:实际,2026:174,2027:149,2028:25)",OK,
XD豪威集,A股,GPU/CPU/NVLink/核心芯片,传感器/模拟,603501.SH,AI终端与智能硬件上游,主题映射,1203,32.7,21.3,17.8,18.0,40.5,56.4,67.7,66.7,0.217,0.393,0.201,-0.015,2026-06-05,-3.5,-8.5,2.7,-15.0,-27.1,-26.0,"report_rc中位数(2025:实际,2026:96,2027:81,2028:19)",OK,
芯原股份,A股,GPU/CPU/NVLink/核心芯片,芯片IP/设计服务,688521.SH,芯片IP平台与定制设计,主题映射,1184,,1493.3,350.4,98.8,-5.3,0.8,3.4,12.0,-0.122,-1.15,3.262,2.547,2026-06-05,-7.4,-18.3,-3.4,-2.3,26.5,166.4,"report_rc中位数(2025:实际,2026:78,2027:72,2028:14)",OK,
龙芯中科,A股,GPU/CPU/NVLink/核心芯片,CPU/IP生态,688047.SH,国产CPU与基础软硬件生态,主题映射,546,,6511.7,369.5,283.5,-4.6,0.1,1.5,1.9,-0.272,-1.018,16.624,0.303,2026-06-05,-2.9,-15.2,-2.6,-15.1,-6.2,9.1,"report_rc中位数(2025:实际,2026:14,2027:12,2028:3)",OK,
复旦微电,A股,GPU/CPU/NVLink/核心芯片,芯片设计,688385.SH,安全芯片、FPGA与存储控制,主题映射,458,187.4,44.7,35.4,33.2,2.3,10.2,13.0,13.8,-0.594,3.41,0.265,0.066,2026-06-05,-2.9,-17.5,-27.3,-26.4,-33.9,21.2,"report_rc中位数(2025:实际,2026:26,2027:21,2028:1)",OK,
景嘉微,A股,GPU/CPU/NVLink/核心芯片,GPU/图显,300474.SZ,国产图形处理器,主题映射,295,,279.9,132.1,195.1,-1.6,1.1,2.2,1.5,-0.003,-1.639,1.119,-0.323,2026-06-05,-3.0,-11.0,-8.1,-14.6,-26.1,-16.6,"report_rc中位数(2025:实际,2026:16,2027:14,2028:1)",OK,
华虹半导体,港股,GPU/CPU/NVLink/核心芯片,晶圆制造,01347.HK,特色工艺和功率半导体制造,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
北方华创,A股,HBM/内存/存储,存储上游设备/刻蚀沉积,002371.SZ,DRAM/NAND产线刻蚀与沉积设备,高相关,4373,78.4,45.7,36.6,34.1,55.2,95.7,119.4,128.3,-0.018,0.734,0.248,0.074,2026-06-05,-3.8,-9.8,34.0,33.3,15.2,39.8,"report_rc中位数(2025:实际,2026:161,2027:124,2028:27)",OK,
兆易创新,A股,HBM/内存/存储,存储芯片设计/NOR/DRAM,603986.SH,NOR与利基DRAM设计，参股长鑫存储,高相关,3421,119.0,159.4,126.7,47.1,16.5,21.5,27.0,72.6,0.495,0.302,0.258,1.688,2026-06-05,-7.8,4.1,59.3,76.8,74.0,320.6,"report_rc中位数(2025:实际,2026:137,2027:121,2028:19)",OK,
澜起科技,A股,HBM/内存/存储,内存接口/服务器芯片,688008.SH,服务器内存接口芯片,高相关,2926,114.4,92.1,71.5,49.8,22.4,31.8,40.9,58.7,0.584,0.421,0.289,0.435,2026-06-05,-7.8,-11.9,51.1,61.6,67.9,215.6,"report_rc中位数(2025:实际,2026:91,2027:82,2028:22)",OK,
江波龙,A股,HBM/内存/存储,存储模组/企业级SSD,301308.SZ,企业级SSD与存储模组,高相关,2200,40.5,136.1,106.0,21.9,14.2,16.2,20.8,100.4,1.854,0.136,0.284,3.834,2026-06-05,-8.5,-5.4,38.3,57.5,47.1,611.8,"report_rc中位数(2025:实际,2026:35,2027:33,2028:6)",OK,
佰维存储,A股,HBM/内存/存储,AI服务器存储,688525.SH,存储模组与企业级存储,高相关,1467,37.1,184.6,115.0,14.9,8.5,7.9,12.8,98.1,4.291,-0.069,0.605,6.694,2026-06-05,-8.9,-0.4,12.7,43.5,69.0,436.3,"report_rc中位数(2025:实际,2026:42,2027:33,2028:6)",OK,
德明利,A股,HBM/内存/存储,存储模组/主控,001309.SZ,存储主控与嵌入式存储模组,高相关,1430,34.9,163.5,136.8,14.4,6.9,8.8,10.5,99.4,0.964,0.271,0.195,8.505,2026-06-05,-7.4,-6.5,22.5,125.2,130.9,462.9,"report_rc中位数(2025:实际,2026:22,2027:14,2028:2)",OK,
长电科技,A股,HBM/内存/存储,存储封测/先进封装,600584.SH,存储芯片封测与先进封装,高相关,1354,81.9,58.3,48.2,45.9,15.7,23.2,28.1,29.5,-0.028,0.483,0.211,0.049,2026-06-05,-5.5,3.8,71.8,68.1,56.3,130.7,"report_rc中位数(2025:实际,2026:72,2027:66,2028:13)",OK,
华海清科,A股,HBM/内存/存储,存储上游设备/CMP,688120.SH,CMP设备，DRAM/NAND制造环节,高相关,877,79.9,52.0,43.0,37.0,10.8,16.9,20.4,23.7,0.059,0.558,0.209,0.162,2026-06-05,-2.8,-10.2,30.4,43.3,26.9,61.0,"report_rc中位数(2025:实际,2026:52,2027:46,2028:10)",OK,
香农芯创,A股,HBM/内存/存储,HBM/存储分销,300475.SZ,SK海力士存储分销与HBM涨价受益,高相关,807,43.5,86.6,64.2,8.0,5.4,9.3,12.6,101.3,1.062,0.711,0.349,7.057,2026-06-05,-7.1,-8.4,6.9,8.9,-4.1,494.4,"report_rc中位数(2025:实际,2026:25,2027:23,2028:2)",OK,
