ts_code,trade_date,open,high,low,close,pct_chg,vol,amount,amount_wan,return_1d,amount_ma20,amount_ratio_20_60,turnover_rate,turnover_rate_f,volume_ratio,pe_ttm,pb,circ_mv,float_share,free_share,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,large_net_amount,elg_net_amount,main_net_amount,main_net_pct_amount,net_mf_pct_amount,main_net_5d,main_net_pct_5d,net_mf_5d,main_net_10d,main_net_pct_10d,net_mf_10d,main_net_20d,main_net_pct_20d,net_mf_20d,main_net_60d,main_net_pct_60d,net_mf_60d,rzye,rzmre,rzche,rqye,rzrqye,financing_net_buy,financing_balance_chg,financing_balance_pct_mv,financing_net_buy_5d,financing_balance_chg_5d,financing_net_buy_20d,financing_balance_chg_20d,financing_net_buy_60d,financing_balance_chg_60d,obv,cmf_20,mfi_14,future_ret_5d,future_ret_10d,future_ret_20d,future_ret_60d,main_net_pct_amount_rank_252,main_net_pct_20d_rank_252,financing_net_buy_20d_rank_252,financing_balance_pct_mv_rank_252,amount_ratio_20_60_rank_252,turnover_rate_f_rank_252,cmf_20_rank_252,mfi_14_rank_252
002463.SZ,2021-05-21,14.65,14.75,14.38,14.38,-1.776,98726.48,143557.339,14355.733900000001,-0.01775956284153002,201464.2314,0.849151954908796,0.5788,0.5788,0.82,18.3724,3.78,2452855.64,170574.1057,170574.1057,2002.21,3934.63,347.49,918.11,-4482.14,-1932.42,-570.62,-2503.04,-0.17435820539972532,-0.31221949579324537,-2539.29,-0.04060512826447478,-7645.849999999986,-4364.849999999975,-0.036329749373061035,-8470.180000000022,-39739.70000000002,-0.07644129892506649,-60911.269999999946,-92496.93000000001,-0.06862938502080575,-116446.21000000002,875821052.0,9974066.0,11170828.0,34985764.0,910806816.0,-1196762.0,-1196762.0,0.0357061800832274,14080572.0,14080572.0,-30895365.0,-30895365.0,-46266608.0,-46266608.0,34971335.870000035,-0.20744845275872062,53.55890801420916,0.06328233657858129,0.06119610570236422,0.017385257301808066,-0.12308762169680121,0.15873015873015872,0.2896825396825397,0.39285714285714285,0.9801587301587301,0.6111111111111112,0.003968253968253968,0.1111111111111111,0.7301587301587301
002463.SZ,2021-05-24,14.38,14.74,14.23,14.65,1.8776,133377.16,193736.154,19373.615400000002,0.018776077885952702,203407.0187,0.863223156566245,0.7819,0.7819,1.27,18.7174,3.851,2498910.6485,170574.1057,170574.1057,4234.88,4162.64,2176.39,1252.69,3534.11,72.23999999999978,923.6999999999998,995.9399999999996,0.05140702855079902,0.18241871364907966,-1935.360000000001,-0.03339316303699411,-4428.799999999985,-2658.1299999999756,-0.026800275582173627,-4462.4000000000215,-36315.99000000002,-0.06603338420804966,-53309.029999999955,-86664.96,-0.06500038371326496,-109450.12000000002,874152315.0,17736902.0,19405639.0,24212729.0,898365044.0,-1668737.0,-1668737.0,0.0349813353880708,12465952.0,12465952.0,-41886681.0,-41886681.0,-55229981.0,-55229981.0,35104713.03000003,-0.15678681043900658,54.46540540096342,0.047098976109214874,0.0703071672354949,0.0027303754266210234,-0.1624573378839591,0.8968253968253969,0.49206349206349204,0.32936507936507936,0.9285714285714286,0.623015873015873,0.01984126984126984,0.20634920634920634,0.7341269841269841
002463.SZ,2021-05-25,14.7,14.94,14.53,14.9,1.7065,192434.27,285196.68,28519.667999999998,0.017064846416382284,209888.49435,0.8909640479941532,1.1282,1.1282,1.97,19.0368,3.9167,2541554.1749,170574.1057,170574.1057,5753.27,5458.29,2261.71,2390.17,7256.46,294.9800000000005,-128.46000000000004,166.52000000000044,0.005838777646359714,0.2544370432362677,-816.0600000000005,-0.01604292354772747,4850.380000000014,-1873.2699999999747,-0.02123541009638851,3184.9399999999778,-36331.77000000002,-0.06632736587540654,-45066.54999999996,-82326.97000000002,-0.062496716064169934,-101569.61000000002,862129883.0,20719567.0,32741999.0,21304856.0,883434739.0,-12022432.0,-12022432.0,0.03392136557679009,-5990142.0,-5990142.0,-52178865.0,-52178865.0,-60401331.0,-60401331.0,35297147.300000034,-0.10921916658292455,64.77166322620322,0.0288590604026846,0.037583892617449655,0.03624161073825505,-0.17449664429530198,0.7738095238095238,0.49206349206349204,0.30158730158730157,0.7896825396825397,0.6587301587301587,0.15476190476190477,0.3611111111111111,0.9365079365079365
002463.SZ,2021-05-26,14.9,15.15,14.84,14.94,0.2685,166443.19,249255.068,24925.5068,0.0026845637583892135,191596.65255,0.8126242505392871,0.9758,1.4753,1.39,19.0879,3.9272,2548377.1392,170574.1057,112817.5454,5844.14,5461.33,488.36,1472.18,-449.84,382.8100000000004,-983.82,-601.0099999999996,-0.024112247940330733,-0.01804737627240542,-1335.2800000000002,-0.019484900088238687,6549.280000000013,-1953.4599999999741,-0.02007244421176154,3039.4799999999773,-20469.300000000014,-0.054150035095203164,-25460.73999999995,-79289.11,-0.060341960343780164,-95164.94000000002,864808354.0,22080456.0,19401985.0,19675936.0,884484290.0,2678471.0,2678471.0,0.033935650288853446,-8899308.0,-8899308.0,-2033339.0,-2033339.0,-69251208.0,-69251208.0,35463590.49000003,-0.0069762849427870794,72.67975392324797,-0.00200803212851397,0.016733601070950455,0.061579651941097824,-0.1733601070950469,0.6666666666666666,0.7222222222222222,0.5634920634920635,0.7976190476190477,0.47619047619047616,0.2777777777777778,0.6746031746031746,0.9722222222222222
002463.SZ,2021-05-27,14.9,15.47,14.86,15.45,3.4137,276911.09,423335.054,42333.5054,0.034136546184738936,201153.29085,0.8442104806002965,1.6234,2.4545,2.02,19.7395,4.0613,2635369.9331,170574.1057,112817.5454,12505.72,9540.91,3248.38,990.72,9924.75,2964.8099999999995,2257.66,5222.469999999999,0.12336493164584474,0.2344419604807874,3280.879999999999,-0.0035719430994104544,15783.340000000013,4723.130000000026,0.0011409619574272278,12029.399999999978,-13369.200000000013,-0.04393869743019084,-10214.349999999951,-74532.42,-0.05856980455021025,-91384.34000000003,859164366.0,30671124.0,36315112.0,22223233.0,881387599.0,-5643988.0,-5643988.0,0.03260128133090447,-17853448.0,-17853448.0,-16318366.0,-16318366.0,-68272066.0,-68272066.0,35740501.580000035,0.13906114905513806,75.48655210713609,-0.02783171521035599,-0.003883495145631022,0.018122977346278324,-0.2077669902912621,0.9722222222222222,0.8690476190476191,0.47619047619047616,0.5912698412698413,0.5793650793650794,0.5992063492063492,0.9563492063492064,0.9801587301587301
002463.SZ,2021-05-28,15.39,15.41,15.21,15.29,-1.0356,148680.18,227418.261,22741.8261,-0.01035598705501617,195501.3413,0.8457847734252419,0.8716,1.3179,0.86,19.5351,4.0192,2608078.0762,170574.1057,112817.5454,3589.78,5182.85,1181.49,1102.87,-4282.92,-1593.0700000000002,78.62000000000012,-1514.45,-0.0665931571783499,-0.18832788454045915,4269.469999999999,0.017981066544864633,15982.560000000014,1730.1800000000255,-0.011312030859805144,8336.709999999977,-8609.700000000015,-0.03805434976691139,-5924.249999999951,-90830.49,-0.06344155069123486,-113578.87000000002,855545992.0,19862059.0,23480433.0,22714931.0,878260923.0,-3618374.0,-3618374.0,0.03280369555678871,-20275060.0,-20275060.0,-17229559.0,-17229559.0,-63167840.0,-63167840.0,35591821.400000036,0.1950733863407246,81.75815521131886,-0.0019620667102681066,-0.01046435578809668,0.03400915631131474,-0.18705035971223016,0.503968253968254,0.9404761904761905,0.4722222222222222,0.6388888888888888,0.5873015873015873,0.21428571428571427,0.9920634920634921,0.9920634920634921
002463.SZ,2021-05-31,15.34,15.41,15.22,15.34,0.327,114211.27,174935.466,17493.546599999998,0.0032701111837802888,192462.03585000001,0.8463159172119398,0.6696,1.0124,0.62,19.5989,4.0324,2616606.7814,170574.1057,112817.5454,3685.52,4159.39,1425.77,725.21,-976.85,-473.87000000000035,700.56,226.6899999999996,0.012958492933616996,-0.055840592095830366,3500.2199999999993,0.010291359421428222,11471.600000000013,1564.8600000000247,-0.011550901807783011,7042.799999999977,-7408.790000000015,-0.03533996175131745,-5992.899999999951,-87936.36000000002,-0.062111671328710746,-114458.68000000002,858595121.0,24003400.0,20954271.0,19912117.0,878507238.0,3049129.0,3049129.0,0.03281330336309125,-15557194.0,-15557194.0,-7419706.0,-7419706.0,-55545055.0,-55545055.0,35706032.67000004,0.1673069409287711,82.07833864099086,0.022164276401564598,-0.052151238591916615,-0.003911342894393766,-0.18904823989569752,0.7896825396825397,0.9603174603174603,0.5436507936507936,0.6428571428571429,0.5912698412698413,0.1349206349206349,0.9801587301587301,0.9920634920634921
002463.SZ,2021-06-01,15.29,15.42,15.16,15.33,-0.0652,115890.0,177452.272,17745.2272,-0.0006518904823989979,193922.34874999998,0.8588412698088167,0.6794,1.0272,0.64,19.5862,4.0297,2614901.0404,170574.1057,112817.5454,3604.74,4738.11,1635.32,1071.15,-1372.97,-1133.37,564.1699999999998,-569.2,-0.032076230615970924,-0.0773712268953085,2764.4999999999986,0.0027083577689620956,2842.170000000014,1948.4400000000248,-0.006667282889382756,7692.549999999977,-5762.130000000016,-0.029470182794887112,-5295.599999999951,-87228.95000000001,-0.0618709564539203,-118433.35000000002,864359090.0,26618378.0,20854409.0,17219453.0,881578543.0,5763969.0,5763969.0,0.03305513580230093,2229207.0,2229207.0,-3163047.0,-3163047.0,-33414076.0,-33414076.0,35590142.67000004,0.2086421339699699,76.20382775298742,0.008480104370515384,-0.052837573385518644,0.009132420091324311,-0.19569471624266144,0.6468253968253969,0.9841269841269841,0.5714285714285714,0.6944444444444444,0.6150793650793651,0.1388888888888889,0.996031746031746,0.9722222222222222
002463.SZ,2021-06-02,15.28,15.33,14.9,14.91,-2.7397,159771.04,240548.336,24054.8336,-0.0273972602739726,195089.44384999998,0.8688030215036076,0.9367,1.4162,0.97,19.0496,3.9193,2543259.916,170574.1057,112817.5454,3429.37,5799.58,990.11,2315.49,-8995.61,-2370.21,-1325.3799999999997,-3695.5899999999997,-0.15363190872374188,-0.3739626783367148,-330.0800000000013,-0.023195574387720137,-5703.599999999986,-1665.359999999975,-0.021340237237979474,845.6799999999785,-6550.680000000015,-0.030459895429849265,-7010.649999999951,-87912.68000000001,-0.062839362953113,-124073.12000000001,875403841.0,30213413.0,19168662.0,15985786.0,891389627.0,11044751.0,11044751.0,0.034420541742222775,10595487.0,10595487.0,12930750.0,12930750.0,-22011666.0,-22011666.0,35430371.63000004,0.184142443636504,68.79836276322442,0.018779342723004744,0.005365526492287165,0.007377598926894713,-0.19248826291079824,0.1865079365079365,0.9801587301587301,0.6706349206349206,0.8531746031746031,0.6349206349206349,0.26587301587301587,0.9841269841269841,0.9285714285714286
002463.SZ,2021-06-03,14.99,15.4,14.9,15.02,0.7378,171811.24,260874.34,26087.434,0.007377598926894713,199732.21934999997,0.8975803993872337,1.0073,1.5229,1.05,19.1901,3.9483,2562023.0676,170574.1057,112817.5454,6418.09,3939.68,1423.4,2536.39,1615.26,2478.4100000000003,-1112.9899999999998,1365.4200000000005,0.05234014200093426,0.06191716670945866,-4187.130000000001,-0.037400532316702234,-14013.089999999986,-906.2499999999741,-0.020486237708056413,1770.2499999999775,-4216.120000000014,-0.024958866342505055,-3304.709999999952,-89062.96,-0.06306325117247955,-129362.99000000002,877202938.0,25152062.0,23352965.0,15481895.0,892684833.0,1799097.0,1799097.0,0.03423868227781916,18038572.0,18038572.0,13735843.0,13735843.0,-16071049.0,-16071049.0,35602182.87000004,0.1691181386041912,68.83437185707635,0.0246338215712385,-0.011984021304926706,-0.02130492676431428,-0.24234354194407448,0.8928571428571429,0.996031746031746,0.6746031746031746,0.8253968253968254,0.6626984126984127,0.31746031746031744,0.9722222222222222,0.9285714285714286
002463.SZ,2021-06-04,15.13,15.3,15.02,15.26,1.5979,147024.34,223662.531,22366.253099999998,0.015978695073235683,204044.40444999997,0.9457742555997007,0.8619,1.3032,1.03,19.4967,4.0113,2602960.853,170574.1057,112817.5454,4817.2,4326.3,2975.52,645.07,1891.38,490.89999999999964,2330.45,2821.3499999999995,0.12614316700189715,0.08456400772823233,148.6699999999987,0.0011467325193471795,-7838.789999999985,4418.140000000025,0.009563899532105838,8143.769999999978,53.28999999998496,-0.013382924920477601,-326.4099999999514,-85660.84,-0.06080733033582243,-131676.06000000003,867209243.0,18323973.0,28317668.0,16426658.0,883635901.0,-9993695.0,-9993695.0,0.03331626144129337,11663251.0,11663251.0,2633584.0,2633584.0,-7723859.0,-7723859.0,35749207.210000046,0.22332242133948063,68.50720565706492,-0.008519003931847902,-0.041284403669724745,-0.028178243774574008,-0.26933158584534733,0.9722222222222222,1.0,0.6190476190476191,0.7103174603174603,0.7103174603174603,0.2222222222222222,1.0,0.9206349206349206
002463.SZ,2021-06-07,15.45,15.71,15.33,15.68,2.7523,264570.82,413379.715,41337.9715,0.02752293577981657,216615.6789,1.0079197703235108,1.5511,2.3451,1.87,20.0333,4.1217,2674601.9774,170574.1057,112817.5454,10020.23,7106.03,4636.22,3552.88,5353.33,2914.2,1083.3400000000001,3997.54,0.09670382592430787,0.1295015165415168,3919.5199999999995,0.017895799117485355,-1508.6099999999851,7419.740000000025,0.014093579269456724,9962.989999999978,4761.609999999984,-0.006353348156358458,5500.590000000048,-78694.94,-0.05812743916796408,-125181.61000000002,872667253.0,37609947.0,32151937.0,14689839.0,887357092.0,5458010.0,5458010.0,0.032627929702210345,14072132.0,14072132.0,17831874.0,17831874.0,-9829694.0,-9829694.0,36013778.030000046,0.2696611847127091,74.95645017795417,-0.07270408163265307,-0.06313775510204078,-0.04081632653061229,-0.2863520408163266,0.9484126984126984,1.0,0.7063492063492064,0.5714285714285714,0.7936507936507936,0.5992063492063492,1.0,0.9642857142857143
002463.SZ,2021-06-08,15.68,15.69,15.42,15.46,-1.4031,174188.22,270563.814,27056.381400000002,-0.014030612244897878,223936.86774999998,1.0478064320092433,1.0212,1.544,1.01,19.7523,4.0639,2637075.6741,170574.1057,112817.5454,5776.36,7803.79,1142.56,2124.78,-3902.54,-2027.4300000000003,-982.2200000000003,-3009.6500000000005,-0.11123623501256528,-0.14423732214242072,1479.0699999999988,0.002063798238166484,-4038.1799999999853,4243.570000000025,0.002386078003564225,-1196.010000000023,2370.2999999999843,-0.00942466604641215,1988.9300000000485,-77290.83,-0.057831672424205775,-125789.02000000002,878568396.0,29424116.0,23522973.0,13189731.0,891758127.0,5901143.0,5901143.0,0.03331601002689633,14209306.0,14209306.0,26795514.0,26795514.0,-7144299.0,-7144299.0,35839589.81000005,0.199940570257855,71.62722525880972,-0.060802069857697316,-0.0012936610608021981,-0.036222509702457995,-0.25097024579560157,0.31746031746031744,0.996031746031746,0.7261904761904762,0.7063492063492064,0.8333333333333334,0.34523809523809523,0.9801587301587301,0.9404761904761905
002463.SZ,2021-06-09,15.4,15.54,15.13,15.19,-1.7464,137797.81,210951.52,21095.152,-0.017464424320828065,227198.59855,1.0711410484305215,0.8078,1.2214,0.75,19.4073,3.9929,2591020.6656,170574.1057,112817.5454,4356.22,4992.58,515.95,746.78,-6198.38,-636.3599999999997,-230.82999999999993,-867.1899999999996,-0.041108497345740846,-0.29382959648738255,4307.469999999999,0.02456848051376669,-1240.9499999999853,3977.3900000000244,0.0006864530630232131,-6944.550000000023,2023.9299999999853,-0.009692995574369171,-3905.0699999999515,-76088.40000000001,-0.05739541991865284,-132270.00000000003,886445881.0,23635036.0,15757551.0,11584684.0,898030565.0,7877485.0,7877485.0,0.034212227357697536,11042040.0,11042040.0,30600592.0,30600592.0,3159180.0,3159180.0,35701792.000000045,0.1503273884847139,70.14253655627027,-0.013166556945358732,0.04410796576695186,0.02172481895984202,-0.24423963133640547,0.6071428571428571,0.9920634920634921,0.75,0.8214285714285714,0.8611111111111112,0.19047619047619047,0.9325396825396826,0.9285714285714286
002463.SZ,2021-06-10,15.2,15.49,15.11,15.39,1.3167,148352.86,227246.97,22724.697,0.013166556945358954,230370.48715,1.0909857220031463,0.8697,1.315,0.83,19.6628,4.0455,2625135.4867,170574.1057,112817.5454,4780.42,4698.12,1045.57,1480.35,5125.37,82.30000000000018,-434.78,-352.4799999999998,-0.015510877878811752,0.22554184110793643,2589.569999999999,0.010998276537817486,2269.1600000000144,-1597.5599999999747,-0.013201127889442435,-11743.930000000026,3125.569999999986,-0.006030082966007611,285.47000000004846,-70558.68,-0.05420554418480446,-120416.26000000002,873560429.0,12580577.0,25466029.0,11781845.0,885342274.0,-12885452.0,-12885452.0,0.03327677498650303,-3642509.0,-3642509.0,22774712.0,22774712.0,-5737991.0,-5737991.0,35850144.860000044,0.1522895751865941,74.85247340625325,-0.03573749187784281,0.022092267706302682,0.021442495126705596,-0.24886289798570504,0.6666666666666666,1.0,0.7182539682539683,0.6984126984126984,0.8650793650793651,0.23015873015873015,0.9325396825396826,0.9603174603174603
002463.SZ,2021-06-11,15.3,15.37,15.06,15.13,-1.6894,153558.58,232711.77,23271.177,-0.016894087069525665,229246.47605,1.0922285135114944,0.9002,1.3611,0.88,19.3306,3.9772,2580786.2192,170574.1057,112817.5454,3933.63,4806.88,692.22,1370.32,-3074.34,-873.25,-678.0999999999999,-1551.35,-0.06666401102101539,-0.13210934711209493,-1783.1300000000003,-0.02756315906676502,-2696.559999999986,-1634.4599999999746,-0.013208213273708986,-10535.350000000024,95.71999999998616,-0.01226012206675707,-2198.639999999952,-66394.88,-0.05223274504499851,-120809.10000000002,870060301.0,15716178.0,19216306.0,11667529.0,881727830.0,-3500128.0,-3500128.0,0.03371299391352547,2851058.0,2851058.0,8319821.0,8319821.0,-9531197.0,-9531197.0,35696586.280000046,0.07619993366427003,68.67188080426206,-0.03304692663582287,0.04494382022471899,0.024454725710508773,-0.2042300066093854,0.49206349206349204,0.9841269841269841,0.6626984126984127,0.75,0.8650793650793651,0.25793650793650796,0.8095238095238095,0.9047619047619048
002463.SZ,2021-06-15,15.11,15.23,14.5,14.54,-3.8995,199545.13,295573.368,29557.3368,-0.03899537343027104,231253.76145000002,1.0948126324380552,1.1698,1.7687,1.14,18.5768,3.8221,2480147.4969,170574.1057,112817.5454,6120.56,7850.9,1270.38,3005.14,-9318.26,-1730.3399999999992,-1734.7599999999998,-3465.099999999999,-0.11723316019459504,-0.31526047367028004,-9245.769999999999,-0.07035055629054561,-17368.149999999987,-5326.249999999973,-0.02622737858653019,-18876.760000000024,-3761.3900000000135,-0.018889140197156606,-11833.959999999952,-66683.18,-0.05172732065151108,-126154.57000000002,887839110.0,40229606.0,22450797.0,9512823.0,897351933.0,17778809.0,17778809.0,0.03579783505254155,15171857.0,15171857.0,26152747.0,26152747.0,2568763.0,2568763.0,35497041.15000004,0.013111032907277907,60.629992617091126,0.01031636863823926,0.050894085281980805,0.07359009628610735,-0.1616231086657497,0.29365079365079366,0.9761904761904762,0.7301587301587301,0.9841269841269841,0.8650793650793651,0.44047619047619047,0.6865079365079365,0.8015873015873016
002463.SZ,2021-06-16,14.54,14.7,14.47,14.52,-0.1376,110551.8,161135.739,16113.5739,-0.0013755158184318717,233422.82435000004,1.1068878455508537,0.6481,0.9799,0.68,18.5513,3.8168,2476736.0148,170574.1057,112817.5454,2812.63,3930.6,625.1,281.15,-532.34,-1117.9699999999998,343.95000000000005,-774.0199999999998,-0.048035277884566616,-0.03303674301577505,-7010.1399999999985,-0.05771036486494587,-13997.949999999984,-5531.069999999973,-0.027823283313389756,-18036.13000000002,-3582.630000000013,-0.01724528310138626,-10343.579999999953,-67261.79000000001,-0.05234878242153342,-125882.68000000002,881166626.0,8351910.0,15024394.0,9492479.0,890659105.0,-6672484.0,-6672484.0,0.03557773701898365,2598230.0,2598230.0,13046601.0,13046601.0,-2755939.0,-2755939.0,35386489.350000046,-0.002518318851140713,55.092300265541404,0.06336088154269981,0.06542699724517909,0.04752066115702491,-0.1673553719008264,0.5833333333333334,0.9761904761904762,0.6825396825396826,0.9682539682539683,0.8849206349206349,0.12301587301587301,0.6468253968253969,0.6984126984126984
