ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801092.SI,20240820,汽车服务,390.19,392.74,381.87,384.81,-6.09,-1.56,12550.0,55943.0,66.19,0.7,2463829.0,5815625.934911
801092.SI,20240821,汽车服务,383.15,390.7,377.99,382.7,-2.11,-0.55,15070.0,64063.0,65.8,0.7,2450314.0,5782542.928951
801092.SI,20240822,汽车服务,383.01,384.92,373.2,374.59,-8.11,-2.12,14020.0,60794.0,55.59,1.35,2398358.0,5664175.219958
801092.SI,20240823,汽车服务,374.67,378.93,369.72,372.54,-2.05,-0.55,11591.0,45393.0,55.19,1.34,2385237.0,5642735.772614
801092.SI,20240826,汽车服务,373.52,378.21,368.54,373.9,1.36,0.37,9405.0,44091.0,55.44,1.34,2393947.0,5650548.214272
801092.SI,20240827,汽车服务,379.16,381.47,368.22,371.02,-2.88,-0.77,10142.0,50582.0,54.89,1.33,2375535.0,5627783.085449
801092.SI,20240828,汽车服务,370.12,378.21,365.77,370.76,-0.27,-0.07,10227.0,43915.0,54.82,1.37,2063948.0,4974001.864916
801092.SI,20240829,汽车服务,369.44,378.09,366.66,375.53,4.77,1.29,9617.0,41158.0,55.54,1.39,2090252.0,5044626.187646
801092.SI,20240830,汽车服务,373.47,391.46,369.73,384.24,8.72,2.32,14743.0,74567.0,56.89,1.42,2138762.0,5184259.809187
801092.SI,20240902,汽车服务,383.23,386.96,377.33,377.98,-6.27,-1.63,10228.0,47210.0,56.03,1.4,2103884.0,5095562.988709
801092.SI,20240903,汽车服务,377.28,386.15,375.35,381.53,3.56,0.94,9337.0,42169.0,56.54,1.41,2123672.0,5153232.228509
801092.SI,20240904,汽车服务,379.28,384.8,375.5,378.61,-2.92,-0.77,8776.0,40258.0,56.11,1.4,2107417.0,5109230.109015
801092.SI,20240905,汽车服务,379.52,389.3,377.92,386.47,7.86,2.08,12574.0,54103.0,57.3,1.43,2151154.0,5203662.239969
801092.SI,20240906,汽车服务,386.01,395.01,379.54,384.21,-2.26,-0.58,18986.0,82649.0,57.01,1.42,2138599.0,5160642.426266
801092.SI,20240909,汽车服务,381.41,391.59,373.15,383.57,-0.64,-0.17,20425.0,82445.0,56.87,1.42,2135029.0,5171272.377419
801092.SI,20240910,汽车服务,383.93,390.88,376.29,384.22,0.64,0.17,15878.0,70133.0,56.97,1.42,2138602.0,5177663.243716
801092.SI,20240911,汽车服务,381.64,387.31,375.71,380.61,-3.6,-0.94,11783.0,54283.0,56.46,1.41,2118558.0,5135028.333369
801092.SI,20240912,汽车服务,380.7,387.15,377.59,379.09,-1.53,-0.4,9324.0,41025.0,56.21,1.4,2110057.0,5114894.747287
801092.SI,20240913,汽车服务,380.04,382.35,371.37,374.02,-5.07,-1.34,9541.0,44654.0,55.43,1.38,2081830.0,5048713.667065
801092.SI,20240918,汽车服务,373.09,378.37,365.51,372.95,-1.06,-0.28,10085.0,47589.0,55.31,1.38,2075908.0,5046277.451735
801092.SI,20240919,汽车服务,375.32,384.0,370.72,380.29,7.34,1.97,12822.0,55365.0,56.39,1.41,2116780.0,5136393.842768
801092.SI,20240920,汽车服务,380.32,382.79,373.93,377.63,-2.66,-0.7,9632.0,43505.0,55.99,1.4,2101954.0,5102657.277552
801092.SI,20240923,汽车服务,376.77,384.48,372.07,380.1,2.47,0.65,15350.0,58114.0,56.37,1.41,2115683.0,5122782.928134
801092.SI,20240924,汽车服务,381.4,392.13,377.43,390.47,10.37,2.73,19849.0,81710.0,57.92,1.44,2173408.0,5263055.910703
801092.SI,20240925,汽车服务,394.5,408.3,390.66,395.08,4.61,1.18,25927.0,106631.0,58.64,1.46,2199087.0,5308521.035087
801092.SI,20240926,汽车服务,394.29,408.45,391.17,407.84,12.76,3.23,20334.0,89761.0,60.59,1.51,2270120.0,5484051.96289
801092.SI,20240927,汽车服务,412.11,426.38,409.48,423.66,15.82,3.88,22142.0,100900.0,62.93,1.57,2358170.0,5686975.190863
801092.SI,20240930,汽车服务,440.38,468.16,430.31,463.02,39.36,9.29,46502.0,240493.0,68.58,1.71,2577235.0,6211961.287648
801092.SI,20241008,汽车服务,517.62,517.85,464.37,489.13,26.11,5.64,51168.0,306219.0,72.11,1.8,2722565.0,6565031.169045
801092.SI,20241009,汽车服务,479.07,480.96,439.27,441.56,-47.56,-9.72,34285.0,193127.0,65.32,1.63,2457814.0,5928762.155457
801092.SI,20241010,汽车服务,445.35,470.94,435.99,453.73,12.17,2.76,32101.0,193658.0,66.58,1.66,2525553.0,6161680.147696
801092.SI,20241011,汽车服务,450.56,456.55,429.42,434.19,-19.55,-4.31,23761.0,136825.0,64.11,1.6,2416743.0,5882856.389733
801092.SI,20241014,汽车服务,435.7,443.79,425.53,441.07,6.89,1.59,18146.0,100897.0,65.12,1.62,2455090.0,5963922.318633
801092.SI,20241015,汽车服务,437.36,446.05,428.07,431.13,-9.94,-2.25,20610.0,113505.0,63.71,1.59,2399737.0,5815575.096895
801092.SI,20241016,汽车服务,427.42,435.08,422.21,428.41,-2.72,-0.63,17866.0,94082.0,63.32,1.58,2384570.0,5779519.124908
801092.SI,20241017,汽车服务,430.38,439.23,422.9,424.34,-4.06,-0.95,19564.0,98654.0,62.63,1.56,2361954.0,5727953.780764
801092.SI,20241018,汽车服务,423.45,444.18,420.38,436.5,12.16,2.87,23641.0,122373.0,64.4,1.61,2429651.0,5887135.80424
801092.SI,20241021,汽车服务,437.67,445.66,432.27,439.56,3.06,0.7,20482.0,116626.0,64.68,1.61,2446664.0,5924144.833222
